"Table","Key","Change","Field","Before","After"
"Allocations","T-031|2026-09-11#1","Removed","TaskID","T-031",""
"Allocations","T-031|2026-09-11#1","Removed","Date","2026-09-11",""
"Allocations","T-031|2026-09-11#1","Removed","Hours","2",""
"Allocations","T-031|2026-09-14#1","Added","TaskID","","T-031"
"Allocations","T-031|2026-09-14#1","Added","Date","","2026-09-14"
"Allocations","T-031|2026-09-14#1","Added","Hours","","2"
"Allocations","T-040|2026-09-14#1","Removed","TaskID","T-040",""
"Allocations","T-040|2026-09-14#1","Removed","Date","2026-09-14",""
"Allocations","T-040|2026-09-14#1","Removed","Hours","4",""
"Allocations","T-040|2026-09-15#1","Added","TaskID","","T-040"
"Allocations","T-040|2026-09-15#1","Added","Date","","2026-09-15"
"Allocations","T-040|2026-09-15#1","Added","Hours","","4"
"Allocations","T-041|2026-09-15#1","Removed","TaskID","T-041",""
"Allocations","T-041|2026-09-15#1","Removed","Date","2026-09-15",""
"Allocations","T-041|2026-09-15#1","Removed","Hours","4",""
"Allocations","T-041|2026-09-16#1","Added","TaskID","","T-041"
"Allocations","T-041|2026-09-16#1","Added","Date","","2026-09-16"
"Allocations","T-041|2026-09-16#1","Added","Hours","","4"
"Allocations","T-050|2026-09-16#1","Removed","TaskID","T-050",""
"Allocations","T-050|2026-09-16#1","Removed","Date","2026-09-16",""
"Allocations","T-050|2026-09-16#1","Removed","Hours","2",""
"Allocations","T-050|2026-09-17#1","Added","TaskID","","T-050"
"Allocations","T-050|2026-09-17#1","Added","Date","","2026-09-17"
"Allocations","T-050|2026-09-17#1","Added","Hours","","2"
"Requirements","REQ-002#1","Changed","QAStatus","Resolved","Open"
"Requirements","REQ-003#1","Changed","QAStatus","Resolved","Open"
"Tasks","T-031#1","Changed","StartDate","2026-09-11","2026-09-14"
"Tasks","T-031#1","Changed","EndDate","2026-09-11","2026-09-14"
"Tasks","T-040#1","Changed","StartDate","2026-09-14","2026-09-15"
"Tasks","T-040#1","Changed","EndDate","2026-09-14","2026-09-15"
"Tasks","T-041#1","Changed","StartDate","2026-09-15","2026-09-16"
"Tasks","T-041#1","Changed","EndDate","2026-09-15","2026-09-16"
"Tasks","T-050#1","Changed","StartDate","2026-09-16","2026-09-17"
"Tasks","T-050#1","Changed","EndDate","2026-09-16","2026-09-17"
