"MemberID","Date","AvailableHours"
"001","2026-09-07","6"
"002","2026-09-07","6"
"003","2026-09-07","6"
"001","2026-09-08","1"
"002","2026-09-08","6"
"003","2026-09-08","6"
"001","2026-09-09","6"
"002","2026-09-09","6"
"003","2026-09-09","6"
"001","2026-09-10","6"
"002","2026-09-10","6"
"003","2026-09-10","6"
"001","2026-09-11","6"
"002","2026-09-11","0"
"003","2026-09-11","6"
"001","2026-09-12","0"
"002","2026-09-12","0"
"003","2026-09-12","0"
"001","2026-09-13","0"
"002","2026-09-13","0"
"003","2026-09-13","0"
"001","2026-09-14","6"
"002","2026-09-14","6"
"003","2026-09-14","6"
"001","2026-09-15","6"
"002","2026-09-15","6"
"003","2026-09-15","6"
"001","2026-09-16","6"
"002","2026-09-16","6"
"003","2026-09-16","6"
"001","2026-09-17","6"
"002","2026-09-17","6"
"003","2026-09-17","6"
"001","2026-09-18","6"
"002","2026-09-18","6"
"003","2026-09-18","6"
"001","2026-09-19","0"
"002","2026-09-19","0"
"003","2026-09-19","0"
"001","2026-09-20","0"
"002","2026-09-20","0"
"003","2026-09-20","0"
"001","2026-09-21","6"
"002","2026-09-21","6"
"003","2026-09-21","6"
"001","2026-09-22","6"
"002","2026-09-22","6"
"003","2026-09-22","6"
"001","2026-09-23","6"
"002","2026-09-23","6"
"003","2026-09-23","6"
"001","2026-09-24","6"
"002","2026-09-24","6"
"003","2026-09-24","6"
"001","2026-09-25","6"
"002","2026-09-25","6"
"003","2026-09-25","6"
